script_id,outcome,question,gold,predicted,agree,confidence,confidence_band
script_01,ESCALATE,migration_complexity,low,medium,False,0.4902,low
script_01,ESCALATE,rewrite_strategy,lift_and_shift,redesign,False,0.3343,low
script_01,ESCALATE,has_subquery,False,True,False,0.9024,high
script_01,ESCALATE,has_window_function,False,False,True,0.765,medium
script_01,ESCALATE,multi_source,False,True,False,0.9683,high
script_01,ESCALATE,needs_human_review,False,False,True,0.7412,medium
script_02,ESCALATE,migration_complexity,low,medium,False,0.6131,medium
script_02,ESCALATE,rewrite_strategy,lift_and_shift,lift_and_shift,True,0.4446,low
script_02,ESCALATE,has_subquery,False,True,False,1.0,high
script_02,ESCALATE,has_window_function,False,False,True,0.7591,medium
script_02,ESCALATE,multi_source,False,True,False,0.9631,high
script_02,ESCALATE,needs_human_review,False,False,True,0.6077,medium
script_03,ESCALATE,migration_complexity,low,medium,False,0.5281,low
script_03,ESCALATE,rewrite_strategy,lift_and_shift,refactor,False,0.3196,low
script_03,ESCALATE,has_subquery,False,True,False,0.9162,high
script_03,ESCALATE,has_window_function,False,False,True,0.8255,medium
script_03,ESCALATE,multi_source,False,True,False,0.943,high
script_03,ESCALATE,needs_human_review,False,False,True,0.6766,medium
script_04,ESCALATE,migration_complexity,low,medium,False,0.5755,low
script_04,ESCALATE,rewrite_strategy,lift_and_shift,refactor,False,0.3107,low
script_04,ESCALATE,has_subquery,False,True,False,0.9407,high
script_04,ESCALATE,has_window_function,False,False,True,0.8209,medium
script_04,ESCALATE,multi_source,False,True,False,0.928,high
script_04,ESCALATE,needs_human_review,False,False,True,0.8202,medium
script_05,ESCALATE,migration_complexity,low,medium,False,0.6272,medium
script_05,ESCALATE,rewrite_strategy,lift_and_shift,lift_and_shift,True,0.5054,low
script_05,ESCALATE,has_subquery,False,True,False,0.9232,high
script_05,ESCALATE,has_window_function,False,False,True,0.8662,high
script_05,ESCALATE,multi_source,True,True,True,0.9515,high
script_05,ESCALATE,needs_human_review,False,True,False,0.6312,medium
script_06,ESCALATE,migration_complexity,low,medium,False,0.6787,medium
script_06,ESCALATE,rewrite_strategy,lift_and_shift,refactor,False,0.3106,low
script_06,ESCALATE,has_subquery,False,True,False,0.9471,high
script_06,ESCALATE,has_window_function,False,False,True,0.8278,medium
script_06,ESCALATE,multi_source,True,True,True,0.9424,high
script_06,ESCALATE,needs_human_review,False,False,True,0.7781,medium
script_07,ESCALATE,migration_complexity,low,medium,False,0.6095,medium
script_07,ESCALATE,rewrite_strategy,lift_and_shift,refactor,False,0.4454,low
script_07,ESCALATE,has_subquery,False,True,False,0.896,high
script_07,ESCALATE,has_window_function,False,True,False,0.7124,medium
script_07,ESCALATE,multi_source,True,True,True,0.9512,high
script_07,ESCALATE,needs_human_review,False,True,False,0.7878,medium
script_08,ESCALATE,migration_complexity,low,medium,False,0.6406,medium
script_08,ESCALATE,rewrite_strategy,lift_and_shift,refactor,False,0.4398,low
script_08,ESCALATE,has_subquery,False,True,False,1.0,high
script_08,ESCALATE,has_window_function,False,False,True,0.7065,medium
script_08,ESCALATE,multi_source,True,True,True,0.9932,high
script_08,ESCALATE,needs_human_review,True,True,True,0.6021,medium
script_09,ESCALATE,migration_complexity,low,medium,False,0.6889,medium
script_09,ESCALATE,rewrite_strategy,refactor,refactor,True,0.3753,low
script_09,ESCALATE,has_subquery,False,True,False,1.0,high
script_09,ESCALATE,has_window_function,False,False,True,0.6419,medium
