script_id,outcome,question,gold,predicted,agree,confidence,confidence_band
script_01,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5488,low
script_01,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5751,low
script_01,HUMAN_REVIEW,has_subquery,False,False,True,0.6806,medium
script_01,HUMAN_REVIEW,has_window_function,False,False,True,0.7153,medium
script_01,HUMAN_REVIEW,multi_source,False,False,True,0.7443,medium
script_01,HUMAN_REVIEW,needs_human_review,False,False,True,0.5892,low
script_23,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5045,low
script_23,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5189,low
script_23,HUMAN_REVIEW,has_subquery,False,True,False,0.5335,low
script_23,HUMAN_REVIEW,has_window_function,False,False,True,0.7967,medium
script_23,HUMAN_REVIEW,multi_source,True,True,True,0.8461,medium
script_23,HUMAN_REVIEW,needs_human_review,True,False,False,0.6379,medium
script_38,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5878,low
script_38,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5524,low
script_38,HUMAN_REVIEW,has_subquery,False,False,True,0.6938,medium
script_38,HUMAN_REVIEW,has_window_function,False,False,True,0.7952,medium
script_38,HUMAN_REVIEW,multi_source,True,False,False,0.6045,medium
script_38,HUMAN_REVIEW,needs_human_review,True,False,False,0.5435,low
script_40,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5721,low
script_40,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5567,low
script_40,HUMAN_REVIEW,has_subquery,False,False,True,0.7363,medium
script_40,HUMAN_REVIEW,has_window_function,False,False,True,0.8544,high
script_40,HUMAN_REVIEW,multi_source,True,True,True,0.8216,medium
script_40,HUMAN_REVIEW,needs_human_review,True,False,False,0.8022,medium
script_60,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.47,low
script_60,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.4878,low
script_60,HUMAN_REVIEW,has_subquery,False,False,True,0.6085,medium
script_60,HUMAN_REVIEW,has_window_function,False,False,True,0.7735,medium
script_60,HUMAN_REVIEW,multi_source,True,False,False,0.5362,low
script_60,HUMAN_REVIEW,needs_human_review,False,False,True,0.5779,low
script_68,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5768,low
script_68,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5537,low
script_68,HUMAN_REVIEW,has_subquery,False,False,True,0.6609,medium
script_68,HUMAN_REVIEW,has_window_function,True,False,False,0.763,medium
script_68,HUMAN_REVIEW,multi_source,True,True,True,0.8464,medium
script_68,HUMAN_REVIEW,needs_human_review,True,True,True,0.6231,medium
script_69,HUMAN_REVIEW,migration_complexity,high,medium,False,0.5429,low
script_69,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5542,low
script_69,HUMAN_REVIEW,has_subquery,True,True,True,0.6218,medium
script_69,HUMAN_REVIEW,has_window_function,False,False,True,0.876,high
script_69,HUMAN_REVIEW,multi_source,True,True,True,0.5009,low
script_69,HUMAN_REVIEW,needs_human_review,False,False,True,0.6087,medium
script_86,HUMAN_REVIEW,migration_complexity,high,medium,False,0.5712,low
script_86,HUMAN_REVIEW,rewrite_strategy,redesign,refactor,False,0.5011,low
script_86,HUMAN_REVIEW,has_subquery,False,False,True,0.7569,medium
script_86,HUMAN_REVIEW,has_window_function,False,False,True,0.8632,high
script_86,HUMAN_REVIEW,multi_source,True,True,True,0.7156,medium
script_86,HUMAN_REVIEW,needs_human_review,True,False,False,0.536,low
script_90,HUMAN_REVIEW,migration_complexity,high,medium,False,0.5752,low
script_90,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.3794,low
script_90,HUMAN_REVIEW,has_subquery,True,True,True,0.7163,medium
script_90,HUMAN_REVIEW,has_window_function,False,False,True,0.8033,medium
script_90,HUMAN_REVIEW,multi_source,True,False,False,0.5012,low
script_90,HUMAN_REVIEW,needs_human_review,True,False,False,0.6506,medium
script_96,HUMAN_REVIEW,migration_complexity,high,medium,False,0.7223,medium
script_96,HUMAN_REVIEW,rewrite_strategy,redesign,refactor,False,0.542,low
script_96,HUMAN_REVIEW,has_subquery,True,True,True,0.7952,medium
script_96,HUMAN_REVIEW,has_window_function,False,False,True,0.8124,medium
script_96,HUMAN_REVIEW,multi_source,True,True,True,0.8456,medium
script_96,HUMAN_REVIEW,needs_human_review,True,True,True,0.5593,low
