name,parse_ok,parse_dialect,loc,loc_code,chars,statements,cte_count,cte_max_depth,subquery_count,scalar_subquery_count,correlated_subquery_count,derived_table_count,max_nesting_depth,scope_count,window_function_count,distinct_window_specs,aggregate_count,has_having,has_distinct,has_order_by,source_tables,table_references,cte_references,set_operation_count,union_all_count,intersect_except_count,case_expression_count,case_max_branches,graph_nodes,graph_edges,graph_density,graph_components,graph_max_degree,graph_max_scope_sources,graph_max_scope_edges,graph_max_scope_degree,graph_shape,implicit_joins,explicit_joins,cross_join_risk,unresolved_predicates,distinct_sources,distinct_aggregates,nonportable_markers,rubric_points,rubric_band
query1,True,spark,23,22,918,1,1,1,1,1,1,0,1,3,0,0,2,False,False,True,4,4,2,0,0,0,0,0,4,1,0.1667,3,1,3,2,2,star,3,0,0,1,customer|date_dim|store|store_returns,avg|sum,,4,low
query2,True,spark,79,78,3182,1,2,1,3,0,0,3,3,8,0,0,7,False,False,True,3,5,3,1,1,0,7,1,3,0,0.0,3,0,2,1,1,star,4,0,0,1,catalog_sales|date_dim|web_sales,sum,,7,high
query3,True,spark,19,18,595,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|store_sales,sum,,0,low
query4,True,spark,152,151,6666,1,1,1,0,0,0,0,3,6,0,0,3,False,False,True,5,9,6,2,2,0,4,1,5,6,0.6,1,3,6,5,5,star,11,0,0,0,catalog_sales|customer|date_dim|store_sales|web_sales,sum,,12,high
query5,True,spark,127,126,6300,1,3,1,4,0,0,4,3,18,0,0,15,False,False,True,10,13,3,5,5,0,0,0,10,1,0.0222,9,1,3,2,2,star,6,1,0,0,catalog_page|catalog_returns|catalog_sales|date_dim|store|store_returns|store_sales|web_returns|web_sales|web_site,sum,rollup|interval_arithmetic,12,high
query6,True,spark,23,22,870,1,0,0,2,2,2,0,1,3,0,0,3,True,True,True,5,7,0,0,0,0,0,0,5,4,0.4,1,3,5,4,3,snowflake,4,0,0,2,customer|customer_address|date_dim|item|store_sales,avg|count,,5,medium
query7,True,spark,24,23,758,1,0,0,0,0,0,0,0,1,0,0,4,False,False,True,5,5,0,0,0,0,0,0,5,4,0.4,1,4,5,4,4,star,4,0,0,0,customer_demographics|date_dim|item|promotion|store_sales,avg,,3,low
query8,True,spark,227,226,14621,1,0,0,3,0,0,3,4,6,0,0,3,True,False,True,5,6,0,1,0,1,0,0,5,3,0.3,2,2,4,2,2,disconnected,4,0,0,1,customer|customer_address|date_dim|store|store_sales,count|sum,,7,high
query9,True,spark,63,62,2233,1,0,0,15,15,15,0,1,16,0,0,15,False,False,False,2,16,0,0,0,0,5,1,2,0,0.0,2,0,1,0,0,single,0,0,0,0,reason|store_sales,avg|count,,7,high
query10,True,spark,62,61,2435,1,0,0,3,3,3,0,1,4,0,0,6,False,False,True,7,9,0,0,0,0,0,0,7,5,0.2381,2,3,3,2,2,star,5,0,0,3,catalog_sales|customer|customer_address|customer_demographics|date_dim|store_sales|web_sales,count,,7,high
query11,True,spark,97,96,4101,1,1,1,0,0,0,0,2,4,0,0,2,False,False,True,4,6,4,1,1,0,2,1,4,4,0.6667,1,2,4,3,3,star,7,0,0,0,customer|date_dim|store_sales|web_sales,sum,,6,medium
query12,True,spark,30,29,1001,1,0,0,0,0,0,0,0,1,1,1,4,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|web_sales,sum,interval_arithmetic,2,low
query13,True,spark,44,43,1971,1,0,0,0,0,0,0,0,1,0,0,4,False,False,False,6,6,0,0,0,0,0,0,6,5,0.3333,1,5,6,5,5,star,5,0,0,0,customer_address|customer_demographics|date_dim|household_demographics|store|store_sales,avg|sum,,5,medium
