script_id,outcome,question,gold,predicted,agree,confidence,confidence_band
script_01,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5409,low
script_01,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5482,low
script_01,HUMAN_REVIEW,has_subquery,False,False,True,0.7573,medium
script_01,HUMAN_REVIEW,has_window_function,False,False,True,0.8628,high
script_01,HUMAN_REVIEW,multi_source,False,False,True,0.6665,medium
script_01,HUMAN_REVIEW,needs_human_review,False,True,False,0.7868,medium
script_23,HUMAN_REVIEW,migration_complexity,low,medium,False,0.5246,low
script_23,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5463,low
script_23,HUMAN_REVIEW,has_subquery,False,False,True,0.7948,medium
script_23,HUMAN_REVIEW,has_window_function,False,False,True,0.8534,high
script_23,HUMAN_REVIEW,multi_source,True,True,True,0.805,medium
script_23,HUMAN_REVIEW,needs_human_review,True,True,True,0.628,medium
script_38,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5611,low
script_38,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5294,low
script_38,HUMAN_REVIEW,has_subquery,False,False,True,0.7331,medium
script_38,HUMAN_REVIEW,has_window_function,False,False,True,0.8902,high
script_38,HUMAN_REVIEW,multi_source,True,False,False,0.5188,low
script_38,HUMAN_REVIEW,needs_human_review,True,True,True,0.7058,medium
script_40,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5606,low
script_40,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5272,low
script_40,HUMAN_REVIEW,has_subquery,False,False,True,0.6821,medium
script_40,HUMAN_REVIEW,has_window_function,False,False,True,0.8417,medium
script_40,HUMAN_REVIEW,multi_source,True,True,True,0.8289,medium
script_40,HUMAN_REVIEW,needs_human_review,True,True,True,0.5488,low
script_60,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5303,low
script_60,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.5108,low
script_60,HUMAN_REVIEW,has_subquery,False,False,True,0.729,medium
script_60,HUMAN_REVIEW,has_window_function,False,False,True,0.8769,high
script_60,HUMAN_REVIEW,multi_source,True,True,True,0.5984,low
script_60,HUMAN_REVIEW,needs_human_review,False,True,False,0.7423,medium
script_68,HUMAN_REVIEW,migration_complexity,medium,medium,True,0.5932,low
script_68,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.6401,medium
script_68,HUMAN_REVIEW,has_subquery,False,False,True,0.6884,medium
script_68,HUMAN_REVIEW,has_window_function,True,False,False,0.7829,medium
script_68,HUMAN_REVIEW,multi_source,True,True,True,0.9431,high
script_68,HUMAN_REVIEW,needs_human_review,True,True,True,0.6789,medium
script_69,HUMAN_REVIEW,migration_complexity,high,medium,False,0.6475,medium
script_69,HUMAN_REVIEW,rewrite_strategy,lift_and_shift,refactor,False,0.6233,medium
script_69,HUMAN_REVIEW,has_subquery,True,True,True,0.5406,low
script_69,HUMAN_REVIEW,has_window_function,False,False,True,0.9085,high
script_69,HUMAN_REVIEW,multi_source,True,False,False,0.5927,low
script_69,HUMAN_REVIEW,needs_human_review,False,True,False,0.6274,medium
script_86,HUMAN_REVIEW,migration_complexity,high,medium,False,0.6359,medium
script_86,HUMAN_REVIEW,rewrite_strategy,redesign,refactor,False,0.6366,medium
script_86,HUMAN_REVIEW,has_subquery,False,False,True,0.782,medium
script_86,HUMAN_REVIEW,has_window_function,False,False,True,0.893,high
script_86,HUMAN_REVIEW,multi_source,True,False,False,0.6768,medium
script_86,HUMAN_REVIEW,needs_human_review,True,True,True,0.6491,medium
script_90,HUMAN_REVIEW,migration_complexity,high,medium,False,0.6555,medium
script_90,HUMAN_REVIEW,rewrite_strategy,refactor,refactor,True,0.5145,low
script_90,HUMAN_REVIEW,has_subquery,True,True,True,0.6931,medium
script_90,HUMAN_REVIEW,has_window_function,False,False,True,0.8394,medium
script_90,HUMAN_REVIEW,multi_source,True,False,False,0.7332,medium
script_90,HUMAN_REVIEW,needs_human_review,True,True,True,0.5329,low
script_96,HUMAN_REVIEW,migration_complexity,high,medium,False,0.7445,medium
script_96,HUMAN_REVIEW,rewrite_strategy,redesign,refactor,False,0.5354,low
script_96,HUMAN_REVIEW,has_subquery,True,False,False,0.6916,medium
script_96,HUMAN_REVIEW,has_window_function,False,False,True,0.7999,medium
script_96,HUMAN_REVIEW,multi_source,True,True,True,0.8311,medium
script_96,HUMAN_REVIEW,needs_human_review,True,True,True,0.5516,low
